referenceid,endpoint,resolverid,displaycolor
lastdayonearthsurvival,https://lastdayonearthsurvival.gamepedia.com/api.php,generic,"!random"
masterofeternity,https://masterofeternity.gamepedia.com/api.php,generic,"!random"
apocalypserising,https://apocalypserising.gamepedia.com/api.php,generic,"!random"
panzercorps,https://panzercorps.gamepedia.com/api.php,generic,"!random"
startraders,https://startraders.gamepedia.com/api.php,generic,"!random"
grandsummoners,https://grandsummoners.gamepedia.com/api.php,generic,"!random"
dragonproject,https://dragonproject.gamepedia.com/api.php,generic,"!random"
dotaunderlords,https://dotaunderlords.gamepedia.com/api.php,generic,"!random"
forsakenisle,https://forsakenisle.gamepedia.com/api.php,generic,"!random"
littlewood,https://littlewood.gamepedia.com/api.php,generic,"!random"
empyrion,https://empyrion.gamepedia.com/api.php,generic,"!random"
itlurksbelow,https://itlurksbelow.gamepedia.com/api.php,generic,"!random"
boundless,https://boundless.gamepedia.com/api.php,generic,"!random"
finalfantasyxv,https://finalfantasyxv.gamepedia.com/api.php,generic,"!random"
satisfactory,https://satisfactory.gamepedia.com/api.php,generic,"!random"
survarium,https://survarium.gamepedia.com/api.php,generic,"!random"
skiesofarcadia,https://skiesofarcadia.gamepedia.com/api.php,generic,"!random"
masteroforion,https://masteroforion.gamepedia.com/api.php,generic,"!random"
idlechampions,https://idlechampions.gamepedia.com/api.php,generic,"!random"
titanfall,https://titanfall.gamepedia.com/api.php,generic,"!random"
armoredwarfare,https://armoredwarfare.gamepedia.com/api.php,generic,"!random"
twinsuniverse,https://twinsuniverse.gamepedia.com/api.php,generic,"!random"
saointegralfactor,https://saointegralfactor.gamepedia.com/api.php,generic,"!random"
flowerknightgirl,https://flowerknightgirl.gamepedia.com/api.php,generic,"!random"
bannersaga,https://bannersaga.gamepedia.com/api.php,generic,"!random"
apexlegends-esports,https://apexlegends-esports.gamepedia.com/api.php,generic,"!random"
swordsman,https://swordsman.gamepedia.com/api.php,generic,"!random"
pokemongo,https://pokemongo.gamepedia.com/api.php,generic,"!random"
nightbanes,https://nightbanes.gamepedia.com/api.php,generic,"!random"
scpcb,https://scpcb.gamepedia.com/api.php,generic,"!random"
bproject,https://bproject.gamepedia.com/api.php,generic,"!random"
vampiresfallorigins,https://vampiresfallorigins.gamepedia.com/api.php,generic,"!random"
moonlighter,https://moonlighter.gamepedia.com/api.php,generic,"!random"
terratech,https://terratech.gamepedia.com/api.php,generic,"!random"
duelofchampions,https://duelofchampions.gamepedia.com/api.php,generic,"!random"
forager,https://forager.gamepedia.com/api.php,generic,"!random"
crafttheworld,https://crafttheworld.gamepedia.com/api.php,generic,"!random"
clockworkempires,https://clockworkempires.gamepedia.com/api.php,generic,"!random"
archlightonline,https://archlightonline.gamepedia.com/api.php,generic,"!random"
fistofthenorthstar,https://fistofthenorthstar.gamepedia.com/api.php,generic,"!random"
thehorusheresylegions,https://thehorusheresylegions.gamepedia.com/api.php,generic,"!random"
antiaris,https://antiaris.gamepedia.com/api.php,generic,"!random"
huntshowdown,https://huntshowdown.gamepedia.com/api.php,generic,"!random"
battleriteroyale,https://battleriteroyale.gamepedia.com/api.php,generic,"!random"
theescapists,https://theescapists.gamepedia.com/api.php,generic,"!random"
wildterra,https://wildterra.gamepedia.com/api.php,generic,"!random"
chroniclesofelyria,https://chroniclesofelyria.gamepedia.com/api.php,generic,"!random"
skyforge,https://skyforge.gamepedia.com/api.php,generic,"!random"
magicka,https://magicka.gamepedia.com/api.php,generic,"!random"
astroneer,https://astroneer.gamepedia.com/api.php,generic,"!random"
strife,https://strife.gamepedia.com/api.php,generic,"!random"
carnivores,https://carnivores.gamepedia.com/api.php,generic,"!random"
theblackoutclub,https://theblackoutclub.gamepedia.com/api.php,generic,"!random"
strongholdkingdoms,https://strongholdkingdoms.gamepedia.com/api.php,generic,"!random"
vermintide,https://vermintide.gamepedia.com/api.php,generic,"!random"
squad,https://squad.gamepedia.com/api.php,generic,"!random"
greenhell,https://greenhell.gamepedia.com/api.php,generic,"!random"
streamers,https://streamers.gamepedia.com/api.php,generic,"!random"
miniworld,https://miniworld.gamepedia.com/api.php,generic,"!random"
mountandblade-ru,https://mountandblade-ru.gamepedia.com/api.php,generic,"!random"
osirisnewdawn,https://osirisnewdawn.gamepedia.com/api.php,generic,"!random"
balrum,https://balrum.gamepedia.com/api.php,generic,"!random"
robocraft,https://robocraft.gamepedia.com/api.php,generic,"!random"
animalroyale,https://animalroyale.gamepedia.com/api.php,generic,"!random"
teamfighttactics,https://teamfighttactics.gamepedia.com/api.php,generic,"!random"
demonsarecrazy,https://demonsarecrazy.gamepedia.com/api.php,generic,"!random"
kogama,https://kogama.gamepedia.com/api.php,generic,"!random"
mordheimcotd,https://mordheimcotd.gamepedia.com/api.php,generic,"!random"
picross,https://picross.gamepedia.com/api.php,generic,"!random"
camelot,https://camelot.gamepedia.com/api.php,generic,"!random"
hyperuniverse,https://hyperuniverse.gamepedia.com/api.php,generic,"!random"
idtmod,https://idtmod.gamepedia.com/api.php,generic,"!random"
crowfall,https://crowfall.gamepedia.com/api.php,generic,"!random"
planetcentauri,https://planetcentauri.gamepedia.com/api.php,generic,"!random"
powermaster,https://powermaster.gamepedia.com/api.php,generic,"!random"
darwinproject,https://darwinproject.gamepedia.com/api.php,generic,"!random"
help,https://help.gamepedia.com/api.php,generic,"!random"
valnirrok,https://valnirrok.gamepedia.com/api.php,generic,"!random"
antibirth,https://antibirth.gamepedia.com/api.php,generic,"!random"
ymir,https://ymir.gamepedia.com/api.php,generic,"!random"
stonehearth,https://stonehearth.gamepedia.com/api.php,generic,"!random"
elementsawoken,https://elementsawoken.gamepedia.com/api.php,generic,"!random"
pathologic,https://pathologic.gamepedia.com/api.php,generic,"!random"
alphacentauri,https://alphacentauri.gamepedia.com/api.php,generic,"!random"
frostpunk,https://frostpunk.gamepedia.com/api.php,generic,"!random"
crea,https://crea.gamepedia.com/api.php,generic,"!random"
temtem,https://temtem.gamepedia.com/api.php,generic,"!random"
starcraft,https://starcraft.gamepedia.com/api.php,generic,"!random"
brawlhalla,https://brawlhalla.gamepedia.com/api.php,generic,"!random"
infinitecrisis,https://infinitecrisis.gamepedia.com/api.php,generic,"!random"
cultistsimulator,https://cultistsimulator.gamepedia.com/api.php,generic,"!random"
cubeworld,https://cubeworld.gamepedia.com/api.php,generic,"!random"
yonder,https://yonder.gamepedia.com/api.php,generic,"!random"
tera,https://tera.gamepedia.com/api.php,generic,"!random"
reignofkings,https://reignofkings.gamepedia.com/api.php,generic,"!random"
callersbane,https://callersbane.gamepedia.com/api.php,generic,"!random"
identityv,https://identityv.gamepedia.com/api.php,generic,"!random"
arenaofvalor,https://arenaofvalor.gamepedia.com/api.php,generic,"!random"
transformersthedarkeras,https://transformersthedarkeras.gamepedia.com/api.php,generic,"!random"
candycraft,https://candycraft.gamepedia.com/api.php,generic,"!random"
deeprockgalactic,https://deeprockgalactic.gamepedia.com/api.php,generic,"!random"
superstickmangolf,https://superstickmangolf.gamepedia.com/api.php,generic,"!random"
starpointgemini,https://starpointgemini.gamepedia.com/api.php,generic,"!random"
weneedtogodeeper,https://weneedtogodeeper.gamepedia.com/api.php,generic,"!random"
edgeofspace,https://edgeofspace.gamepedia.com/api.php,generic,"!random"
darkorbit,https://darkorbit.gamepedia.com/api.php,generic,"!random"
panzerwaltz,https://panzerwaltz.gamepedia.com/api.php,generic,"!random"
fairyseffect,https://fairyseffect.gamepedia.com/api.php,generic,"!random"
gloriavictis,https://gloriavictis.gamepedia.com/api.php,generic,"!random"
felldom,https://felldom.gamepedia.com/api.php,generic,"!random"
marvelheroes,https://marvelheroes.gamepedia.com/api.php,generic,"!random"
pitpeople,https://pitpeople.gamepedia.com/api.php,generic,"!random"
saviorpedia,https://saviorpedia.gamepedia.com/api.php,generic,"!random"
foxhole,https://foxhole.gamepedia.com/api.php,generic,"!random"
civilizationbeyondearth,https://civilizationbeyondearth.gamepedia.com/api.php,generic,"!random"
disneyinfinity,https://disneyinfinity.gamepedia.com/api.php,generic,"!random"
epochmod,https://epochmod.gamepedia.com/api.php,generic,"!random"
dragonsaga,https://dragonsaga.gamepedia.com/api.php,generic,"!random"
prey,https://prey.gamepedia.com/api.php,generic,"!random"
swordcoastlegends,https://swordcoastlegends.gamepedia.com/api.php,generic,"!random"
labyrinth,https://labyrinth.gamepedia.com/api.php,generic,"!random"
exodusmod,https://exodusmod.gamepedia.com/api.php,generic,"!random"
wizardoflegend,https://wizardoflegend.gamepedia.com/api.php,generic,"!random"
gardenwarfare,https://gardenwarfare.gamepedia.com/api.php,generic,"!random"
trove,https://trove.gamepedia.com/api.php,generic,"!random"
shellshocklive,https://shellshocklive.gamepedia.com/api.php,generic,"!random"
streetsofrogue,https://streetsofrogue.gamepedia.com/api.php,generic,"!random"
starcontrolorigins,https://starcontrolorigins.gamepedia.com/api.php,generic,"!random"
northgard,https://northgard.gamepedia.com/api.php,generic,"!random"
splitmod,https://splitmod.gamepedia.com/api.php,generic,"!random"
blessonline,https://blessonline.gamepedia.com/api.php,generic,"!random"
horizonzerodawn,https://horizonzerodawn.gamepedia.com/api.php,generic,"!random"
kyn,https://kyn.gamepedia.com/api.php,generic,"!random"
darkout,https://darkout.gamepedia.com/api.php,generic,"!random"
slaythespire,https://slaythespire.gamepedia.com/api.php,generic,"!random"
intothebreach,https://intothebreach.gamepedia.com/api.php,generic,"!random"
deadcells,https://deadcells.gamepedia.com/api.php,generic,"!random"
cookservedelicious,https://cookservedelicious.gamepedia.com/api.php,generic,"!random"
shroudoftheavatar,https://shroudoftheavatar.gamepedia.com/api.php,generic,"!random"
planetside2,https://planetside2.gamepedia.com/api.php,generic,"!random"
franbow,https://franbow.gamepedia.com/api.php,generic,"!random"
goatsimulator,https://goatsimulator.gamepedia.com/api.php,generic,"!random"
gladiusrelicsofwar,https://gladiusrelicsofwar.gamepedia.com/api.php,generic,"!random"
dirtybomb,https://dirtybomb.gamepedia.com/api.php,generic,"!random"
grav,https://grav.gamepedia.com/api.php,generic,"!random"
everspace,https://everspace.gamepedia.com/api.php,generic,"!random"
z1battleroyale,https://z1battleroyale.gamepedia.com/api.php,generic,"!random"
obduction,https://obduction.gamepedia.com/api.php,generic,"!random"
deathtrap,https://deathtrap.gamepedia.com/api.php,generic,"!random"
legoworlds,https://legoworlds.gamepedia.com/api.php,generic,"!random"
battlefield1,https://battlefield1.gamepedia.com/api.php,generic,"!random"
razortrailsurvivors,https://razortrailsurvivors.gamepedia.com/api.php,generic,"!random"
forhonor,https://forhonor.gamepedia.com/api.php,generic,"!random"
deadstate,https://deadstate.gamepedia.com/api.php,generic,"!random"
relegend,https://relegend.gamepedia.com/api.php,generic,"!random"
blacklightretribution,https://blacklightretribution.gamepedia.com/api.php,generic,"!random"
helldivers,https://helldivers.gamepedia.com/api.php,generic,"!random"
infinitywars,https://infinitywars.gamepedia.com/api.php,generic,"!random"
battletech,https://battletech.gamepedia.com/api.php,generic,"!random"
texmurphy,https://texmurphy.gamepedia.com/api.php,generic,"!random"
noita,https://noita.gamepedia.com/api.php,generic,"!random"
blocksworld,https://blocksworld.gamepedia.com/api.php,generic,"!random"
undermine,https://undermine.gamepedia.com/api.php,generic,"!random"
enigmamod,https://enigmamod.gamepedia.com/api.php,generic,"!random"
blockhood,https://blockhood.gamepedia.com/api.php,generic,"!random"
maplestorym,https://maplestorym.gamepedia.com/api.php,generic,"!random"
herowarz,https://herowarz.gamepedia.com/api.php,generic,"!random"
necropolis,https://necropolis.gamepedia.com/api.php,generic,"!random"
warface,https://warface.gamepedia.com/api.php,generic,"!random"
townshiptale,https://townshiptale.gamepedia.com/api.php,generic,"!random"
battlefront,https://battlefront.gamepedia.com/api.php,generic,"!random"
la-mulana2,https://la-mulana2.gamepedia.com/api.php,generic,"!random"
dbtmod,https://dbtmod.gamepedia.com/api.php,generic,"!random"
sorcererking,https://sorcererking.gamepedia.com/api.php,generic,"!random"
outofreach,https://outofreach.gamepedia.com/api.php,generic,"!random"
theendisnigh,https://theendisnigh.gamepedia.com/api.php,generic,"!random"
nba2k-esports,https://nba2k-esports.gamepedia.com/api.php,generic,"!random"
urbanempire,https://urbanempire.gamepedia.com/api.php,generic,"!random"
starblastio,https://starblastio.gamepedia.com/api.php,generic,"!random"
starcitizen,https://starcitizen.gamepedia.com/api.php,generic,"!random"
warwind,https://warwind.gamepedia.com/api.php,generic,"!random"
shinmegamitenseidx2,https://shinmegamitenseidx2.gamepedia.com/api.php,generic,"!random"
stormboundkingdomwars,https://stormboundkingdomwars.gamepedia.com/api.php,generic,"!random"
worldofmayhem,https://worldofmayhem.gamepedia.com/api.php,generic,"!random"
worldsadrift,https://worldsadrift.gamepedia.com/api.php,generic,"!random"
strandeddeep,https://strandeddeep.gamepedia.com/api.php,generic,"!random"
beholder,https://beholder.gamepedia.com/api.php,generic,"!random"
rctworld,https://rctworld.gamepedia.com/api.php,generic,"!random"
superterrariaworld,https://superterrariaworld.gamepedia.com/api.php,generic,"!random"
ffxvane,https://ffxvane.gamepedia.com/api.php,generic,"!random"
culdceptrevolt,https://culdceptrevolt.gamepedia.com/api.php,generic,"!random"
projectspark,https://projectspark.gamepedia.com/api.php,generic,"!random"
legendsofultima,https://legendsofultima.gamepedia.com/api.php,generic,"!random"
operaomnia,https://operaomnia.gamepedia.com/api.php,generic,"!random"
galaxyofheroes,https://galaxyofheroes.gamepedia.com/api.php,generic,"!random"
spaceengineers,https://spaceengineers.gamepedia.com/api.php,generic,"!random"
blocknload,https://blocknload.gamepedia.com/api.php,generic,"!random"
novablitz,https://novablitz.gamepedia.com/api.php,generic,"!random"
thesandbox,https://thesandbox.gamepedia.com/api.php,generic,"!random"
holdyourown,https://holdyourown.gamepedia.com/api.php,generic,"!random"
rocketleague,https://rocketleague.gamepedia.com/api.php,generic,"!random"
fewarriors,https://fewarriors.gamepedia.com/api.php,generic,"!random"
fractured,https://fractured.gamepedia.com/api.php,generic,"!random"
ageofsigmarchampions,https://ageofsigmarchampions.gamepedia.com/api.php,generic,"!random"
legendsofeisenwald,https://legendsofeisenwald.gamepedia.com/api.php,generic,"!random"
angrybirdsevolution,https://angrybirdsevolution.gamepedia.com/api.php,generic,"!random"
thelongdark,https://thelongdark.gamepedia.com/api.php,generic,"!random"
devilian,https://devilian.gamepedia.com/api.php,generic,"!random"
thesandboxevolution,https://thesandboxevolution.gamepedia.com/api.php,generic,"!random"
pantheonriseofthefallen,https://pantheonriseofthefallen.gamepedia.com/api.php,generic,"!random"
clis,https://clis.gamepedia.com/api.php,generic,"!random"
breach,https://breach.gamepedia.com/api.php,generic,"!random"
greedfall,https://greedfall.gamepedia.com/api.php,generic,"!random"
tboirevelations,https://tboirevelations.gamepedia.com/api.php,generic,"!random"
victorvran,https://victorvran.gamepedia.com/api.php,generic,"!random"
guildofdungeoneering,https://guildofdungeoneering.gamepedia.com/api.php,generic,"!random"
